round,country,Both older (age 35 cutoff),Interviewer younger (age 35 cutoff),Both younger (age 35 cutoff),Interviewer older (age 35 cutoff),total_n,n_used
7,Benin,84,410,600,105,1200,1136
7,Botswana,24,566,584,24,1198,1001
7,Burkina Faso,49,511,590,50,1200,1180
7,Cabo Verde,59,525,542,73,1200,1103
7,Cameroon,13,397,752,39,1202,1105
7,Côte d'Ivoire,187,327,449,235,1200,1165
7,eSwatini,46,478,623,53,1200,1102
7,Gabon,0,443,756,0,1199,996
7,Gambia,42,465,658,34,1200,1160
7,Ghana,223,883,1053,240,2400,2282
7,Guinea,223,412,383,175,1194,1105
7,Kenya,150,515,746,181,1599,1519
7,Lesotho,80,609,441,68,1200,1146
7,Liberia,23,428,712,37,1200,1158
7,Madagascar,171,479,415,134,1200,1180
7,Malawi,106,386,543,161,1200,1184
7,Mali,337,299,264,300,1200,1169
7,Mauritius,486,347,149,216,1200,1106
7,Mozambique,3,816,1559,7,2392,2292
7,Namibia,149,337,505,209,1200,1079
7,Niger,265,316,341,277,1200,1188
7,Nigeria,69,432,996,102,1600,1451
7,São Tomé and Príncipe,175,366,476,183,1200,1159
7,Senegal,51,498,595,56,1200,1126
7,Sierra Leone,63,452,596,89,1200,1143
7,South Africa,200,690,711,239,1840,1699
7,Tanzania,123,1043,1147,87,2400,2345
7,Togo,0,504,695,0,1200,1128
7,Uganda,0,503,697,0,1200,1148
7,Zambia,94,403,522,181,1200,1159
7,Zimbabwe,148,436,462,154,1200,1166
7,Total,3643,15276,19562,3709,42224,39880
